Country;2017;2019;2022
Albania;0;1;1
Algeria;1;1;1
Angola;1;1;1
Antigua and Barbuda;0;2;2
Argentina;0;1;1
Armenia;1;1;1
Australia;1;2;2
Austria;2;2;2
Azerbaijan;1;1;1
Bahamas;0;0;0
Bahrain;1;1;1
Bangladesh;0;0;0
Barbados;1;1;1
Belarus;0;1;1
Belgium;2;2;2
Belize;0;0;0
Benin;0;1;1
Bhutan;0;0;0
Bolivia;1;1;1
Bosnia and Herzegovina;1;1;1
Botswana;1;1;1
Brazil;1;1;1
Brunei Darussalam;1;1;1
Bulgaria;0;2;2
Burkina Faso;0;0;1
Burundi;0;1;1
Cambodia;0;0;1
Cameroon;1;1;1
Canada;1;1;1
Central African Republic;1;1;1
Chad;1;1;1
Chile;1;1;1
China;1;2;2
Chinese Taipei;1;1;1
Colombia;2;2;2
Comoros;0;0;0
Congo;1;1;1
Costa Rica;2;2;2
Croatia;0;1;2
Cuba;0;1;1
Cyprus;1;1;2
Czechia;2;2;2
Côte d'Ivoire;0;0;0
Denmark;2;2;2
Djibouti;0;0;0
Dominica;1;1;1
Dominican Republic;0;1;1
DRC;1;1;1
Ecuador;0;1;1
Egypt;1;1;1
El Salvador;0;1;1
Estonia;2;2;2
Eswatini;1;1;1
Ethiopia;1;1;1
Fiji;1;2;2
Finland;2;2;2
France;2;2;2
Gabon;1;1;1
Gambia;0;0;1
Georgia;1;0;2
Germany;1;1;2
Ghana;0;1;2
Greece;1;1;2
Guatemala;1;1;1
Honduras;0;2;2
Hong Kong, China;2;2;2
Hungary;0;1;2
Iceland;–;1;1
India;1;2;2
Indonesia;0;1;2
Ireland;2;2;2
Israel;1;2;2
Italy;2;2;2
Jamaica;1;1;1
Japan;2;2;2
Jordan;1;1;0
Kazakhstan;0;2;2
Kenya;0;2;2
Kiribati;0;0;0
Korea;2;2;2
Kuwait;1;1;1
Kyrgyzstan;0;0;0
Lao PDR;0;1;1
Latvia;2;2;2
Lebanon;0;1;1
Lesotho;1;1;1
Liberia;0;0;0
Lithuania;1;1;2
Luxembourg;2;2;2
Madagascar;0;0;1
Malawi;1;1;1
Malaysia;1;1;2
Maldives;1;1;1
Mali;0;0;0
Malta;1;1;2
Mauritius;2;2;2
Mexico;2;2;2
Micronesia;0;0;0
Moldova;1;1;1
Mongolia;1;1;1
Montenegro;1;1;1
Morocco;2;2;1
Mozambique;0;0;1
Myanmar;0;1;1
Namibia;1;1;1
Nepal;0;0;0
Netherlands;2;2;2
New Zealand;2;2;2
Nicaragua;2;0;2
Niger;0;0;0
Nigeria;1;1;1
North Macedonia;0;0;1
Norway;2;2;2
Oman;1;2;2
Pakistan;2;2;2
Palau;1;1;1
Panama;1;2;2
Papua New Guinea;0;1;1
Paraguay;0;1;1
Peru;2;2;2
Philippines;1;1;2
Poland;1;1;2
Portugal;2;2;2
Qatar;1;1;1
Romania;1;1;2
Russia;2;2;2
Rwanda;0;1;1
Samoa;1;1;1
Saudi Arabia;2;2;2
Senegal;1;1;1
Serbia;1;1;1
Sierra Leone;0;0;0
Singapore;2;2;2
Slovak Republic;2;2;2
Slovenia;2;2;2
Solomon Islands;0;1;1
South Africa;2;2;2
Spain;2;2;2
Sri Lanka;1;1;1
Sudan;0;0;0
Suriname;0;0;0
Sweden;2;2;2
Switzerland;2;2;2
Tajikistan;1;1;1
Tanzania;2;2;2
Thailand;2;1;1
Togo;0;1;1
Tonga;1;1;1
Trinidad and Tobago;0;1;1
Tunisia;1;1;1
Türkiye;1;1;1
Uganda;1;1;1
Ukraine;0;1;1
United Arab Emirates;2;1;2
United Kingdom;2;2;2
United States;2;2;2
Uruguay;2;2;1
Uzbekistan;0;0;0
Vanuatu;1;1;2
Venezuela;0;0;0
Viet Nam;1;1;1
Yemen;0;0;0
Zambia;0;1;1
Zimbabwe;1;1;1
